subject	relation	object	time_step	date
Maris Kucinskis	Make statement	Company - Owner or Operator (Latvia)	4512	2018-07-08
Qatar	Express intent to meet or negotiate	Company - Owner or Operator (United States)	2280	2018-04-06
Iran	Express intent to meet or negotiate	Russia	5640	2018-08-24
Ri Yong-ho	Express intent to meet or negotiate	Turkmenistan	2280	2018-04-06
Business (China)	Engage in diplomatic cooperation	France	216	2018-01-10
Government (Syria)	Make optimistic comment	Iran	5232	2018-08-07
Military Intelligence (Czech Republic)	Consult	Andrej Babis	3024	2018-05-07
Sushma Swaraj	Engage in symbolic act	Shinzo Abe	2112	2018-03-30
Vladimir Putin	Impose administrative sanctions	Citizen (Russia)	72	2018-01-04
Slovenia	Make a visit	Serbia	5496	2018-08-18
United States	Host a visit	Nursultan Nazarbayev	432	2018-01-19
Zabihollah Mojahed	Make statement	Insurgent (Taliban)	4776	2018-07-19
Lee Hsien Loong	Praise or endorse	Kim Jong-Un	3840	2018-06-10
Venkaiah Naidu	Make statement	Senate (India)	2232	2018-04-04
Southeast Asia	Sign formal agreement	Australia	1800	2018-03-17
Tourist (Taiwan)	Make a visit	North Korea	4776	2018-07-19
Protester (Madagascar)	Demonstrate or rally	Unspecified Actor	2688	2018-04-23
Media (Ghana)	Consult	Alban Kingsford Sumana Bagbin	1728	2018-03-14
Police (India)	Make statement	Criminal (India)	5040	2018-07-30
Lawyer/Attorney (Israel)	Return, release person(s)	Citizen (Israel)	1512	2018-03-05
Arun Jaitley	Make statement	Main Opposition (India)	4896	2018-07-24
Foreign Affairs (Russia)	Make statement	European Union	1944	2018-03-23
China	Make statement	Foreign Correspondents' Club	5424	2018-08-15
Citizen (Canada)	Acknowledge or claim responsibility	Canada	5232	2018-08-07
Head of Government (Canada)	Sign formal agreement	Ministry (Canada)	5448	2018-08-16
Marine Le Pen	Make a visit	France	1104	2018-02-16
Emmanuel Macron	Make a visit	Spain	4944	2018-07-26
Russia	Cooperate economically	North Korea	816	2018-02-04
Valentina Ivanovna Matviyenko	Express intent to meet or negotiate	South Korea	4944	2018-07-26
Combatant (Islamic State of Iraq and the Levant)	Use unconventional violence	Syria	5112	2018-08-02
Protester (Palestinian Territory, Occupied)	Protest violently, riot	Israeli Defense Forces	360	2018-01-16
Senate (France)	Consult	Indigenous People (France)	2400	2018-04-11
Wang Yi	Engage in negotiation	Bishop (Argentina)	3384	2018-05-22
Taliban	Meet at a 'third' location	Representatives (Afghanistan)	312	2018-01-14
Business (India)	Consult	Cabinet / Council of Ministers / Advisors (India)	4560	2018-07-10
Citizen (Bosnia and Herzegovina)	Make an appeal or request	Government (Bosnia and Herzegovina)	2760	2018-04-26
Alexis Tsipras	Express intent to meet or negotiate	Ministry (Greece)	1056	2018-02-14
Police (Germany)	Arrest, detain, or charge with legal action	Citizen (Germany)	744	2018-02-01
Member of Parliament (Zimbabwe)	Make statement	Domestic Affairs (Zimbabwe)	2280	2018-04-06
Environment Department/Ministry (India)	Express intent to cooperate	Protester (India)	2520	2018-04-16
Protester (Palestinian Territory, Occupied)	Demonstrate or rally	Unspecified Actor	3192	2018-05-14
Citizen (United Kingdom)	Criticize or denounce	Scotland	1392	2018-02-28
Wang Yi	Make statement	Australia	1584	2018-03-08
Labor Union (India)	Return, release person(s)	Criminal (India)	1056	2018-02-14
Taro Kono	Make a visit	Joko Widodo	4200	2018-06-25
Geraldo Alckmin	Make a visit	Brazil	2760	2018-04-26
Police (India)	Physically assault	Children (India)	4104	2018-06-21
Zoran Zaev	Praise or endorse	Bulgaria	3888	2018-06-12
Citizen (India)	Abduct, hijack, or take hostage	Police (India)	2112	2018-03-30
Police (Czech Republic)	Arrest, detain, or charge with legal action	Syria	1320	2018-02-25
Citizen (Spain)	Use unconventional violence	Police (Spain)	1992	2018-03-25
Giorgos Kaminis	Consult	Panos Skourletis	3720	2018-06-05
Police (Germany)	Return, release person(s)	Head of Government (Germany)	2280	2018-04-06
Saudi Arabia	Engage in negotiation	Egypt	2592	2018-04-19
Africa	Accuse	China	936	2018-02-09
Russia	Refuse to release persons or property	Alexei Navalny	3600	2018-05-31
Protester (Germany)	Demonstrate or rally	Police (Germany)	624	2018-01-27
Police (India)	Mobilize or increase police power	India	1128	2018-02-17
Switzerland	Provide economic aid	Cameroon	1752	2018-03-15
Education Ministry (India)	Make statement	Education (India)	5400	2018-08-14
Russia	Engage in diplomatic cooperation	Pakistan	5400	2018-08-14
France	Sign formal agreement	Germany	3048	2018-05-08
Lawmaker (India)	Accuse	Mehbooba Mufti	4368	2018-07-02
Evo Morales	Make a visit	Cuba	2760	2018-04-26
Militant (Turkey)	Use unconventional violence	Turkey	744	2018-02-01
Men (Indonesia)	Threaten with military force	Police (Indonesia)	3024	2018-05-07
Japan	Express intent to cooperate	China	144	2018-01-07
France	Engage in diplomatic cooperation	Algeria	2064	2018-03-28
Finland	Express intent to engage in diplomatic cooperation (such as policy support)	Germany	4176	2018-06-24
Foreign Affairs (United States)	Make a visit	Argentina	1008	2018-02-12
Ministry (India)	Accuse	Congress (India)	3480	2018-05-26
Syria	Employ aerial weapons	Citizen (Palestinian Territory, Occupied)	2784	2018-04-27
Bishop (India)	Sexually assault	Religion (India)	5376	2018-08-13
Military (Syria)	Make statement	Media Personnel (Germany)	5376	2018-08-13
Governor (Philippines)	Consult	Police (Philippines)	2040	2018-03-27
Umar al Bashir	Make a visit	Uganda	4584	2018-07-11
India	Engage in diplomatic cooperation	South Africa	2904	2018-05-02
Taiwan	Sign formal agreement	Poland	5064	2018-07-31
Bangladesh	Host a visit	UN Security Council	2808	2018-04-28
United States	Make statement	Military (Turkey)	888	2018-02-07
Foreign Affairs (Turkey)	Make optimistic comment	Russia	5400	2018-08-14
Xi Jinping	Discuss by telephone	Angela Merkel	1824	2018-03-18
Philippine National Police	Make statement	Other Authorities / Officials (Philippines)	3624	2018-06-01
United Arab Emirates	Consult	Turkmenistan	240	2018-01-11
Vladimir Putin	Meet at a 'third' location	Donald Trump	4896	2018-07-24
Head of Government (Malaysia)	Make statement	Ministry (Malaysia)	4392	2018-07-03
Rodrigo Duterte	Make a visit	China	2520	2018-04-16
Amarinder Singh	Appeal for diplomatic cooperation (such as policy support)	Rajnath Singh	4800	2018-07-20
United States	Return, release property	Crimea	1728	2018-03-14
Islamic Militant (Philippines)	Conduct suicide, car, or other non-military bombing	Citizen (Philippines)	5136	2018-08-03
City Mayor (China)	Make statement	China	552	2018-01-24
Combatant (Boko Haram)	Use unconventional violence	Military (Nigeria)	5016	2018-07-29
Kuwait	Expel or deport individuals	Royal Administration (Saudi Arabia)	3576	2018-05-30
Cabinet / Council of Ministers / Advisors (India)	Make statement	Congress (India)	5640	2018-08-24
Botswana	Host a visit	China	2352	2018-04-09
Russia	Defy norms, law	UN Security Council	5136	2018-08-03
Children (India)	Make an appeal or request	Member of the Judiciary (India)	3120	2018-05-11
India	Make an appeal or request	United Nations	936	2018-02-09
Iran	Express intent to engage in diplomatic cooperation (such as policy support)	India	1128	2018-02-17
Turkey	Engage in diplomatic cooperation	Armenia	408	2018-01-18
Japan	Make a visit	Serbia	336	2018-01-15
Dalia Grybauskaitė	Consider policy option	France	2352	2018-04-09
Centre Party (Estonia)	Make statement	Government (Estonia)	3792	2018-06-08
Ram Nath Kovind	Praise or endorse	Lawmaker (India)	936	2018-02-09
South Korea	Engage in diplomatic cooperation	North Korea	816	2018-02-04
Bekir Bozdag	Make statement	Turkey	1848	2018-03-19
South Korea	Host a visit	James Mattis	4200	2018-06-25
Police (Thailand)	Make statement	Thailand	1080	2018-02-15
People's Democratic Party (Nigeria)	Accuse	Criminal (Nigeria)	2952	2018-05-04
Peter Cosgrove	Make a visit	Vietnam	3480	2018-05-26
Main Opposition (Japan)	Criticize or denounce	Ministry (Japan)	2808	2018-04-28
Citizen (Nepal)	Reject	Head of Government (Nepal)	5352	2018-08-12
Burkina Faso	Sign formal agreement	World Bank	5616	2018-08-23
Daniel Williams	Make a visit	Israel	4224	2018-06-26
Health Ministry (Rwanda)	Express intent to cooperate	Citizen (Rwanda)	3216	2018-05-15
Member of Parliament (United Kingdom)	Use conventional military force	Citizen (United Kingdom)	4608	2018-07-12
Tony Abbott	Accuse	Scott Morrison	1248	2018-02-22
Other Authorities / Officials (Colombia)	Destroy property	Education (Colombia)	3192	2018-05-14
Governor (Ghana)	Make statement	Government (Ghana)	5208	2018-08-06
Donald Trump	Threaten	Russia	816	2018-02-04
Lawyer/Attorney (Australia)	Make statement	Mustafa Dirani	3768	2018-06-07
Men (India)	Accuse	Police (India)	4848	2018-07-22
Afghanistan	Make statement	Combatant (Taliban)	3120	2018-05-11
Malala Yousafzai	Make a visit	United Kingdom	2184	2018-04-02
India	Host a visit	Head of Government (Israel)	312	2018-01-14
Holy See (Vatican City State)	Make a visit	Ireland	5568	2018-08-21
Islamic State of Iraq and the Levant	Threaten	Southeast Asia	2808	2018-04-28
Combatant (Iraqi Kurds)	Praise or endorse	Iran	1704	2018-03-13
Vladimir Putin	Consult	Nikol Pashinyan	3408	2018-05-23
Donald Trump	Threaten	European Union	3408	2018-05-23
Muhammadu Buhari	Halt negotiations	Rwanda	1848	2018-03-19
Representatives (Vietnam)	Consult	Head of Government (Australia)	2736	2018-04-25
Iran	Engage in diplomatic cooperation	Iraq	840	2018-02-05
Malta	Provide humanitarian aid	Immigrants (Malta)	5496	2018-08-18
Rahul Gandhi	Accuse of crime, corruption	Narendra Modi	2784	2018-04-27
China	Reject plan, agreement to settle dispute	United States	4248	2018-06-27
Cabinet / Council of Ministers / Advisors (Australia)	Criticize or denounce	Military (Australia)	5112	2018-08-02
Police (India)	Mobilize or increase police power	India	2712	2018-04-24
Military Personnel - Special (Afghanistan)	Use conventional military force	Taliban	528	2018-01-23
Vladimir Putin	Consult	Dmitry Anatolyevich Medvedev	3048	2018-05-08
Kurdistan Workers' Party	Retreat or surrender militarily	Iraq	2136	2018-03-31
M.K. Stalin	Consult	Congress (India)	1512	2018-03-05
Middle East	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	1008	2018-02-12
India	Grant asylum	Citizen (Myanmar)	3480	2018-05-26
Foreign Affairs (Chile)	Make statement	Chile	744	2018-02-01
Criminal (Bangladesh)	Physically assault	Shahidul Alam	5280	2018-08-09
Viorica Dăncilă	Praise or endorse	Nikos Kotzias	1680	2018-03-12
William Spindler	Appeal for diplomatic cooperation (such as policy support)	Unidentified State Actor	5064	2018-07-31
China	Criticize or denounce	Head of Government (Taiwan)	5064	2018-07-31
United Nations	Make a visit	Roch Marc Christian Kaboré	4704	2018-07-16
Police (Switzerland)	Engage in material cooperation	Lawyer/Attorney (Switzerland)	216	2018-01-10
Namibia	Host a visit	Emmerson Mnangagwa	432	2018-01-19
Spain	Make statement	Cabinet / Council of Ministers / Advisors (Spain)	2544	2018-04-17
Head of Government (United States)	Consult	Mohammed bin Salman	1896	2018-03-21
Military (Turkey)	Use conventional military force	Military (Syria)	1032	2018-02-13
Viktor Orban	Make a visit	Germany	4416	2018-07-04
Party President (India)	Demand	Sitaram Yechury	1608	2018-03-09
Ngo Xuan Lich	Engage in negotiation	Defense / Security Ministry (United States)	576	2018-01-25
N. Chandrababu Naidu	Make an appeal or request	Telugu Desam Party	4320	2018-06-30
Head of Government (United States)	Express intent to meet or negotiate	North Korea	1632	2018-03-10
Human Rights Watch	Appeal for release of persons or property	Government (China)	4608	2018-07-12
Linas Antanas Linkevičius	Express intent to meet or negotiate	Indigenous People (Lithuania)	1704	2018-03-13
Manmohan Singh	Accuse	Government (India)	1824	2018-03-18
Police (Armenia)	Use tactics of violent repression	Nikol Pashinyan	2520	2018-04-16
Pakistan	Make statement	Pakistan administered Kashmir	1200	2018-02-20
Singapore	Express intent to engage in diplomatic cooperation (such as policy support)	South Korea	4680	2018-07-15
Ram Nath Kovind	Engage in symbolic act	Education (India)	24	2018-01-02
Xi Jinping	Engage in negotiation	Hage Geingob	2136	2018-03-31
Citizen (Germany)	Use unconventional violence	Military Personnel - Special (Iraq)	1176	2018-02-19
Refugee (Syria)	Host a visit	Head of Government (Poland)	1056	2018-02-14
Édouard Philippe	Make a visit	China	4224	2018-06-26
Dmitry Peskov	Make statement	Russia	1944	2018-03-23
Nitish Kumar	Praise or endorse	L.P. Yadav	1392	2018-02-28
Arun Jaitley	Make statement	Rajya Sabha	888	2018-02-07
Rodrigo Duterte	Threaten	Citizen (Philippines)	5256	2018-08-08
United States	Reduce relations	Citizen (El Salvador)	240	2018-01-11
Head of Government (Iran)	Express intent to meet or negotiate	India	1056	2018-02-14
Media Personnel (India)	Make statement	Education (India)	168	2018-01-08
Arun K. Singh	Make an appeal or request	Election Commission (India)	2712	2018-04-24
Government (Venezuela)	Accuse	Miguel Rodríguez Torres	1848	2018-03-19
Donald Trump	Make statement	Boris Johnson	4608	2018-07-12
Rodrigo Duterte	Make a visit	Hong Kong	2472	2018-04-14
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	168	2018-01-08
Israel	Demand	Asylum Seeker (Eritrea)	1392	2018-02-28
Member of Parliament (India)	Make statement	Venkaiah Naidu	2064	2018-03-28
Theresa May	Make statement	Scotland	456	2018-01-20
Head of Government (Maldives)	Make statement	Maldives	1032	2018-02-13
Federica Mogherini	Meet at a 'third' location	Mohammad Javad Zarif	3216	2018-05-15
Rights Activist (Council of Europe)	Appeal for release of persons or property	Russia	4080	2018-06-20
Police (India)	Arrest, detain, or charge with legal action	Employee (India)	912	2018-02-08
Police (India)	Arrest, detain, or charge with legal action	Indigenous People (India)	552	2018-01-24
Armed Rebel (China)	Use unconventional violence	Military (Japan)	3672	2018-06-03
China	Sign formal agreement	United States	3432	2018-05-24
Rama Rao	Make an appeal or request	T. Jeevan Reddy	2736	2018-04-25
Saudi Arabia	Express intent to cooperate	Organization of Petroleum Exporting Countries	3960	2018-06-15
Media Personnel (Indonesia)	Make statement	Police (Indonesia)	4656	2018-07-14
Combatant (Syria)	fight with artillery and tanks	Russia	888	2018-02-07
Nikola Dimitrov	Engage in negotiation	Nikos Kotzias	3456	2018-05-25
Russia	Make statement	Donald Trump	3888	2018-06-12
Environment Department/Ministry (Canada)	Consult	Businessperson (Canada)	1728	2018-03-14
Government (Morocco)	Engage in judicial cooperation	Police (Morocco)	4848	2018-07-22
Devendra Fadnavis	Host a visit	Benjamin Netanyahu	384	2018-01-17
Rahul Gandhi	Make statement	Narendra Modi	5232	2018-08-07
Qatar	Engage in diplomatic cooperation	Iran	4056	2018-06-19
Main Opposition (India)	Engage in symbolic act	Citizen (India)	2352	2018-04-09
Government (Syria)	Arrest, detain, or charge with legal action	Cleric (Germany)	3528	2018-05-28
Protester (Zimbabwe)	Protest violently, riot	Police (Zimbabwe)	5088	2018-08-01
United Arab Emirates	Reduce or break diplomatic relations	Qatar	288	2018-01-13
Lawyer/Attorney (Zimbabwe)	Make statement	Walter Mzembi	528	2018-01-23
Government (Spain)	Yield	Separatist (Spain)	3696	2018-06-04
Foreign Affairs (Romania)	Host a visit	Foreign Affairs (Indonesia)	3072	2018-05-09
Ireland	Host a visit	Interpol	3264	2018-05-17
India	Consult	Pakistan Army	5520	2018-08-19
Ethiopia	Express intent to release persons or property	Detainee (Ethiopia)	888	2018-02-07
Citizen (India)	Express intent to meet or negotiate	Bollywood	3768	2018-06-07
Donald Trump	Engage in negotiation	Vladimir Putin	3408	2018-05-23
Ukraine	Engage in diplomatic cooperation	United States	600	2018-01-26
Police (India)	Use conventional military force	Court Judge (India)	672	2018-01-29
Citizen (India)	Use unconventional violence	Narendra Modi	2472	2018-04-14
Chief Court Judge (India)	Demand	Citizen (India)	4776	2018-07-19
Foreign Affairs (Sweden)	Consult	Foreign Affairs (Iran)	1200	2018-02-20
Federal Judge (Brazil)	Arrest, detain, or charge with legal action	Citizen (Brazil)	552	2018-01-24
Fighter Bomber (Syria)	Employ aerial weapons	Syria	1032	2018-02-13
Romania	Host a visit	Foreign Affairs (United Kingdom)	2112	2018-03-30
Government (Syria)	Coerce	Protester (Syria)	4920	2018-07-25
Egypt	Coerce	Citizen (Egypt)	4992	2018-07-28
Sebastián Piñera	Consult	Carlos Alvarado	4584	2018-07-11
United Nations	Praise or endorse	Head of Government (South Sudan)	4272	2018-06-28
Taro Kono	Make statement	Japan	2496	2018-04-15
Malcolm Bligh Turnbull	Host a visit	Emmanuel Macron	2904	2018-05-02
Police (Pakistan)	Investigate	Citizen (Pakistan)	4704	2018-07-16
Congress (India)	Make statement	Narendra Modi	4104	2018-06-21
Ukraine	Express intent to meet or negotiate	Germany	2280	2018-04-06
Giorgi Margvelashvili	Express intent to meet or negotiate	Poland	3480	2018-05-26
Vladimir Putin	Express intent to meet or negotiate	North Korea	3912	2018-06-13
Djibouti	Make an appeal or request	António Manuel de Oliveira Guterres	4752	2018-07-18
Kim Jong-Il	Engage in negotiation	Head of Government (United States)	3288	2018-05-18
Lenin Moreno	Express intent to settle dispute	Businessperson (Ecuador)	840	2018-02-05
